merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud
fraud_Hamill-D'Amore,health_fitness,24.84,F,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,15/09/1969,32.575873,-102.60429,1
"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,M,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,10/9/1958,42.461127,-91.147148,1
fraud_Nienow PLC,entertainment,620.33,M,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,10/9/1958,42.771834,-90.158365,1
"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,M,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,31.204974,-90.261595,1
fraud_Hermann and Sons,shopping_pos,842.65,F,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,15/09/1969,31.315782,-102.73639,1
fraud_Thompson-Gleason,health_fitness,22.55,F,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",7/5/1986,28.396402,-80.819469,1
fraud_Kuhic LLC,shopping_net,1128.26,M,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,30.354797,-91.146131,1
fraud_Lemke and Sons,travel,4.64,F,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/5/1959,44.031055,-68.815604,1
"fraud_Bahringer, Osinski and Block",food_dining,95.52,M,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,43.143611,-78.708062,1
"fraud_Osinski, Ledner and Leuschke",grocery_pos,297.2,F,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,9/2/1963,33.248204,-85.745045,1
"fraud_Labadie, Treutel and Bode",shopping_net,1159.89,M,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,15/03/1964,40.763354,-81.317657,1
fraud_Gerlach Inc,shopping_net,1051.14,F,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,30/10/1969,46.45845,-98.578936,1
fraud_Fisher-Schowalter,shopping_net,1142.66,M,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,15/03/1964,41.894724,-81.866035,1
fraud_Miller-Harris,misc_net,777.75,F,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,30/10/1969,45.128934,-98.292388,1
"fraud_Heathcote, Yost and Kertzmann",shopping_net,1197.26,M,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,15/03/1964,40.199599,-81.108596,1
"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,307.26,F,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,2/4/1952,37.582402,-85.696596,1
fraud_Lemke-Gutmann,shopping_net,969.7,F,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,2/5/1986,37.310617,-92.913015,1
"fraud_Goldner, Kovacek and Abbott",grocery_pos,314.73,M,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,15/03/1964,40.870022,-81.91135,1
fraud_Auer-Mosciski,grocery_pos,347.63,F,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,2/5/1986,37.370362,-91.874828,1
"fraud_Schultz, Simonis and Little",grocery_pos,342.87,F,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,6/9/1940,39.533647,-75.101612,1
fraud_Kunze Inc,grocery_pos,291.15,F,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,2/4/1952,37.790394,-85.506713,1
"fraud_Schultz, Simonis and Little",grocery_pos,326.49,F,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,6/9/1940,40.115189,-75.488261,1
fraud_Kirlin and Sons,personal_care,2.86,M,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,19/03/1968,33.986391,-81.200714,0
fraud_Sporer-Keebler,personal_care,29.84,F,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",17/01/1990,39.450498,-109.960431,0
"fraud_Swaniawski, Nitzsche and Welch",health_fitness,41.28,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21/10/1970,40.49581,-74.196111,0
fraud_Haley Group,misc_pos,60.05,M,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,25/07/1987,28.812398,-80.883061,0
fraud_Johnston-Casper,travel,3.19,M,Falmouth,MI,49632,44.2529,-85.017,1126,Furniture designer,6/7/1955,44.959148,-85.884734,0
fraud_Daugherty LLC,kids_pets,19.55,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13/10/1991,41.747157,-77.584197,0
fraud_Romaguera Ltd,health_fitness,133.93,F,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",15/01/1951,41.499458,-124.888729,0
fraud_Reichel LLC,personal_care,10.37,F,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",5/3/1972,44.495498,-97.728453,0
"fraud_Goyette, Howell and Collier",shopping_pos,4.37,M,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,27/05/1973,41.546067,-78.120238,0
fraud_Kilback Group,food_dining,66.54,F,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,30/05/1956,31.782919,-96.366185,0
"fraud_Feil, Hilpert and Koss",food_dining,7.01,M,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,10/4/1996,38.977546,-84.727994,0
fraud_Gottlieb Group,kids_pets,42.4,M,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26/02/1976,42.687774,-108.670054,0
fraud_Connelly-Carter,home,2.91,F,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,4/1/1977,26.07846,-80.569932,0
fraud_Bechtelar-Rippin,food_dining,7.93,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17/03/1937,40.71168,-73.668384,0
fraud_Lubowitz-Walter,kids_pets,2.91,F,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,2/11/1971,32.721131,-87.253846,0
"fraud_Welch, Rath and Koepp",entertainment,24.73,F,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,9/4/1988,29.83155,-80.926829,0
fraud_Hickle Group,shopping_pos,2.33,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,13/02/1987,24.306325,-81.065169,0
"fraud_Lang, Towne and Schuppe",kids_pets,16.6,F,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",24/07/1992,33.182349,-97.919284,0
fraud_Morissette LLC,entertainment,80.11,F,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",16/12/1977,30.44999,-89.930996,0
fraud_Prosacco LLC,personal_care,5.71,F,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,22/09/1997,40.508064,-79.615158,0
fraud_Corwin-Romaguera,travel,8.53,F,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,27/12/1997,33.195225,-84.119083,0
fraud_Gottlieb Group,kids_pets,37.95,F,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,9/5/1992,39.844711,-103.975632,0
fraud_Tillman LLC,travel,1.74,M,Greenville,OH,45331,40.0987,-84.6342,22930,Media planner,26/11/1971,40.117116,-84.175021,0
fraud_Veum-Koelpin,travel,6.02,F,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,23/11/1997,45.47444,-89.539774,0
"fraud_Watsica, Haag and Considine",shopping_pos,9.87,F,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,18/06/1985,43.702833,-83.750248,0
fraud_Leannon-Ward,food_dining,47.06,F,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",4/10/1991,38.048242,-123.12568,0
"fraud_Hintz, Bauch and Smith",health_fitness,1.7,M,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,30/08/1957,42.390565,-71.932418,0
fraud_Labadie LLC,personal_care,2.17,M,Lepanto,AR,72354,35.6069,-90.3359,2470,Counselling psychologist,6/10/1968,36.581541,-89.680517,0
"fraud_Eichmann, Hayes and Treutel",travel,6.21,F,New Waverly,TX,77358,30.5354,-95.4532,4993,"Scientist, biomedical",30/11/1948,31.432355,-95.537859,0
fraud_Leffler-Goldner,personal_care,24.44,F,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,29/12/1957,40.951475,-74.065226,0
fraud_Kautzer and Sons,personal_care,176.23,M,Pewee Valley,KY,40056,38.3039,-85.4834,3263,Stage manager,28/02/1930,38.585316,-86.108185,0
fraud_Ernser-Feest,home,134.39,F,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19/07/1974,40.196876,-74.407686,0
"fraud_Zemlak, Tillman and Cremin",personal_care,19.03,M,Belmond,IA,50421,42.8511,-93.62,3032,Community pharmacist,8/8/1964,42.322809,-94.363655,0
fraud_Nienow PLC,entertainment,210.36,F,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,20/11/1974,42.736666,-90.09971,0
fraud_Lynch-Wisozk,home,52.81,F,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,15/02/1964,39.289186,-77.113659,0
"fraud_Feil, Hilpert and Koss",food_dining,82.32,M,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",11/6/1958,31.422908,-90.012124,0
fraud_Schiller Ltd,personal_care,26.31,M,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",19/04/1995,33.949418,-117.610248,0
fraud_Hoppe-Parisian,kids_pets,134.6,F,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,8/1/1970,34.727266,-86.883794,0
